Ellen Veldhuisen	RT @SylviaKornet: Gave (bij)baan!#hospitality #vacature #utrecht #jaarbeurs http://t.co/AuzRZF8ani	Thu Jul 24 11:11:39 +0000 2014
Loltsje Bos	RT @SylviaKornet: Gave (bij)baan!#hospitality #vacature #utrecht #jaarbeurs http://t.co/AuzRZF8ani	Mon Jul 28 20:20:24 +0000 2014
Rotterdam Partners	Voor ons stadspromotiecentrum @RotterdamInfo zijn we op zoek naar een #stagiair #hospitality http://t.co/UN3LO8rdPA #vacature #stage	Fri Feb 21 12:26:50 +0000 2014
Werken bij Saxion	Toe aan een #nieuwe #uitdaging bij #Hospitality #Business #School - #Docent #Tourism &amp; #Leisure op http://t.co/LwcI1c0MZD #vacatures	Fri May 23 12:43:09 +0000 2014
Eva Koenders	RT @RandstadNL: Word jij happy van werken in de horeca? #vacature #hospitality http://t.co/DPQ5e98yOl http://t.co/zdRR1yqh0n	Wed Oct 01 13:11:30 +0000 2014
HotelloTOP	http://t.co/RF4CoNn6uf is weer online, want wie wil er nu niet met Hotello's werken?! #job #hospitality #vacature http://t.co/9ZIyDu8jBt	Wed Nov 12 11:21:14 +0000 2014
Jobmax.co.uk	#hospitality #jobs Jnr Sous Chef - 25,000 - Michelin Property - Wil: UK, South West, Wiltshir... http://t.co/skftW5ud6j from #Jobmax #UK	Wed Jan 01 02:28:27 +0000 2014
Bibi Nieuwenhuijsen	Kent gastvrijheid voor jou geen geheimen? #hospitality #partymanager #Vacature #Rotterdam https://t.co/ItUTHZd0Gf	Tue Apr 08 08:15:32 +0000 2014
Verwiel & Wijngaard 	Naast een junior zoeken wij ook een planner met werkervaring in Utrecht! #hospitality #vacature #accountmanager http://t.co/Sm8bhzgMwL	Fri May 09 12:32:16 +0000 2014
Erik van de Water	RT @RandstadNL: Volg jij @Randstad_hosp al? Voor de leukste #hospitality #vacatures bij o.a. Amsterdam ArenA en Ziggo Dome #mustfollow	Thu Jul 31 09:43:29 +0000 2014
Judi van der Biezen	RT @RandstadNL: Word jij happy van werken in de horeca? #vacature #hospitality http://t.co/DPQ5e98yOl http://t.co/zdRR1yqh0n	Wed Oct 01 10:27:37 +0000 2014
