FRISS	FRISS zoekt een gedreven &amp; creatieve #consultant die de business van onze verzekeringsklanten kent: http://t.co/CAPSIfkdBr #insurance #jobs	Tue Jul 14 16:13:41 +0000 2015
WerkenbijCapgemini	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature http://t.co/bMcf83Zp6L	Tue Aug 25 07:22:52 +0000 2015
Yvonne Zuring	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature: http://t.co/CgqgfXt4I3	Thu Aug 27 07:37:09 +0000 2015
Anne-Marije van Goch	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature	Sun Jun 14 12:35:20 +0000 2015
Freek Roelofs	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature https://t.co/QUv2k66GDB	Mon Jul 13 07:09:22 +0000 2015
Jobs Zwolle	Delta Lloyd is op zoek naar #Insurance #Risk Traineeship in #Zwolle, solliciteer nu! #jobs https://t.co/gJvRrvjRlJ	Tue Oct 20 10:48:22 +0000 2015
vacatures Megajobs	#zoektwerk #vacature Junior Supportmedewerker #IT #assurantie Private #insurance Assuradeuren B.V. #Weert #baan #ict http://t.co/8hMIXW03M7	Mon Aug 31 17:32:30 +0000 2015
InsuranceSharer	RT @Capgemini_banen: Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature http://t.co/bMcf83Zp6L	Fri Jun 12 13:26:05 +0000 2015
High Tech Solutions	FRISS zoekt een gedreven &amp; creatieve #consultant die de business van onze verzekeringsklanten kent: http://t.co/KICZbS8HvV #insurance #jobs	Tue Jul 14 15:51:54 +0000 2015
Insurance & Banking	Werkzaam in #Banking of #Insurance en op zoek naar meer #dynamiek en #uitdaging? Check onze #vacatures: http://t.co/HqW8JF9HTU	Tue Aug 04 05:48:50 +0000 2015
Mirjam de Haas	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature : http://t.co/QYKDzBwVj7	Tue Aug 25 09:00:43 +0000 2015
Akkermans & Partners	Huurwoning uitgebrand?! Voor wie is de rekening? http://t.co/XJ63sQBcu2 #schade #brand #Insurance #jobs	Wed Feb 11 16:28:32 +0000 2015
Edwin Cornet	Mooie uitdaging!!! #vacature #manager claims #schade #verzekeren #insurance #Assen #Groningen #Zwolle https://t.co/GS463stxqy	Sat Oct 17 10:18:28 +0000 2015
Manfred van Gurchom	RT @AnneMarijevGoch: Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature	Mon Jun 15 07:19:23 +0000 2015
Werken bij PwC	Interessante #werkenbijpwc #vacature op snijvlak #finance en #it: Consultant IT #Insurance: http://t.co/S5iJh1nakL	Mon Mar 09 13:55:28 +0000 2015
Finance Weekly	RT @WerkenbijPwC: Interessante #werkenbijpwc #vacature op snijvlak #finance en #it: Consultant IT #Insurance: http://t.co/S5iJh1nakL	Mon Mar 09 13:56:09 +0000 2015
Jobs Zwolle	Check dit #job: #Insurance #Risk Traineeship bij Delta Lloyd in #Zwolle #jobs http://t.co/gJvRrvjRlJ	Mon Oct 19 14:46:04 +0000 2015
Great Insurance Jobs	Operations Specialist, Claim - 14201, Buffalo - Travelers Insurance #insurancejobs #jobs #insurance http://t.co/mVvtIhifsd	Tue Mar 17 01:55:18 +0000 2015
WerkenbijCapgemini	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature http://t.co/bMcf83Zp6L	Fri Jun 12 13:06:55 +0000 2015
InsuranceSharer	RT @AnneMarijevGoch: Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature	Sun Jun 14 12:45:05 +0000 2015
InsuranceSharer	RT @Capgemini_banen: Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature http://t.co/bMcf83Zp6L	Tue Aug 25 08:01:38 +0000 2015
Moniek Nelissen	Ben jij consultant en expert in #DCX? Kom ons #Insurance -DCX team versterken! #vacature http://t.co/qO4GLe9C0q	Sat Aug 29 08:15:06 +0000 2015
Jobs Amsterdam	Solliciteer nu om voor Delta Lloyd te werken, als #Insurance #Risk Traineeship in #Amsterdam #jobs  https://t.co/nNOSDNx5mD	Thu Oct 22 10:33:59 +0000 2015
Rita Verduin	Nieuwe #vacature: Customer Success #Consultant bij @Friss_eu! Noodzakelijk: kennis van  #insurance business. http://t.co/f5ULt2DfHx #PlsRT	Wed Jul 15 14:02:08 +0000 2015
FRISS	Nieuwe #vacature: Customer Success #Consultant bij @Friss_eu! Noodzakelijk: kennis van  #insurance business. http://t.co/94DrBP9Znp #PlsRT	Wed Jul 15 14:02:08 +0000 2015
Jan de Weerd	RT @vacatures_nr1: #zoektwerk #vacature Junior Supportmedewerker #IT #assurantie Private #insurance Assuradeuren B.V. #Weert #baan #ict htt…	Mon Aug 31 17:40:21 +0000 2015
Akkermans & Partners	Dringend op zoek naar verschillende EB en SCHADE profielen voor opdrachten te BRUSSEL en ANTWERPEN! Contacteer ons snel! #jobs #Insurance	Thu Oct 29 10:59:02 +0000 2015
